title,external_id,url,type,publication_year,publication_month,publication_day,journal_title,source_client_id
The ALMA REBELS Survey: Average [CII] 158μm Sizes of Star-forming Galaxies from z~7 to z~4,10.3847/1538-4357/ac7a47,http://www.scopus.com/inward/record.url?eid=2-s2.0-85136091025&partnerID=MN8TOARS,journal-article,2022,,,Astrophysical Journal,0009-0008-9801-2224
The ALMA-ALPINE [CII] survey: The star formation history and the dust emission of star-forming galaxies at 4.5 &lt; z &lt; 6.2,10.1051/0004-6361/202142554,http://www.scopus.com/inward/record.url?eid=2-s2.0-85136324724&partnerID=MN8TOARS,journal-article,2022,,,Astronomy and Astrophysics,0009-0008-9801-2224
The ALPINE-ALMA [CII] survey: double stellar population and AGN activity in a galaxy at z ∼ 5.5,10.48550/arxiv.2212.00038,http://www.scopus.com/inward/record.url?eid=2-s2.0-85144307538&partnerID=MN8TOARS,other,2022,,,arXiv,0009-0008-9801-2224
The resolved chemical abundance properties within the interstellar medium of star-forming galaxies at z ≈ 1.5,2-s2.0-85126503000,http://www.scopus.com/inward/record.url?eid=2-s2.0-85126503000&partnerID=MN8TOARS,other,2022,,,arXiv,0009-0008-9801-2224
The resolved chemical abundance properties within the interstellar medium of star-forming galaxies at z≈ 1.5,10.1093/mnras/stac580,http://www.scopus.com/inward/record.url?eid=2-s2.0-85131228710&partnerID=MN8TOARS,journal-article,2022,,,Monthly Notices of the Royal Astronomical Society,0009-0008-9801-2224
The star formation rates of QSOs,10.1093/mnras/stac1359,http://www.scopus.com/inward/record.url?eid=2-s2.0-85134391092&partnerID=MN8TOARS,journal-article,2022,,,Monthly Notices of the Royal Astronomical Society,0009-0008-9801-2224
The star-formation rates of QSOs,10.48550/arxiv.2205.11645,http://www.scopus.com/inward/record.url?eid=2-s2.0-85131657253&partnerID=MN8TOARS,other,2022,,,arXiv,0009-0008-9801-2224
Metal-things: On the metallicity and ionization of ULX sources in NGC 925,10.3847/1538-4357/abc892,http://www.scopus.com/inward/record.url?eid=2-s2.0-85099185452&partnerID=MN8TOARS,journal-article,2021,,,Astrophysical Journal,0009-0008-9801-2224
"Resolving a dusty, star-forming SHiZELS galaxy at z = 2.2 with HST, ALMA, and SINFONI on kiloparsec scales",10.1093/mnras/stab467,http://www.scopus.com/inward/record.url?eid=2-s2.0-85109574323&partnerID=MN8TOARS,journal-article,2021,,,Monthly Notices of the Royal Astronomical Society,0009-0008-9801-2224
"Resolving a dusty, star-forming SHiZELS galaxy at z=2.2 with HST, ALMA and SINFONI on kiloparsec scales",2-s2.0-85102545352,http://www.scopus.com/inward/record.url?eid=2-s2.0-85102545352&partnerID=MN8TOARS,other,2021,,,arXiv,0009-0008-9801-2224
The ALPINE-ALMA [CII] survey: Kinematic diversity &amp; Rotation in massive star forming galaxies at z ∼ 4.4 − 5.9,2-s2.0-85106079268,http://www.scopus.com/inward/record.url?eid=2-s2.0-85106079268&partnerID=MN8TOARS,other,2021,,,arXiv,0009-0008-9801-2224
The ALPINE-ALMA [CII] survey: The contribution of major mergers to the galaxy mass assembly at z ∼5,10.1051/0004-6361/202141306,http://www.scopus.com/inward/record.url?eid=2-s2.0-85115740613&partnerID=MN8TOARS,journal-article,2021,,,Astronomy and Astrophysics,0009-0008-9801-2224
The ALPINE-ALMA [CII] survey: The contribution of major mergers to the galaxy mass assembly at z∼5,2-s2.0-85112546551,http://www.scopus.com/inward/record.url?eid=2-s2.0-85112546551&partnerID=MN8TOARS,other,2021,,,arXiv,0009-0008-9801-2224
The alpine-Alma [c ii] survey: Kinematic diversity and rotation in massive star-forming galaxies at z ~ 4.4-5.9,10.1093/mnras/stab2226,http://www.scopus.com/inward/record.url?eid=2-s2.0-85115780291&partnerID=MN8TOARS,journal-article,2021,,,Monthly Notices of the Royal Astronomical Society,0009-0008-9801-2224
VALES VIII: Weak ionized gas outflows in star-forming galaxies at z ∼ 0.15 traced with VLT/MUSE,2-s2.0-85113527863,http://www.scopus.com/inward/record.url?eid=2-s2.0-85113527863&partnerID=MN8TOARS,other,2021,,,arXiv,0009-0008-9801-2224
VALES: VIII. Weak ionized gas outflows in star-forming galaxies at z ∼0.15 traced with VLT/MUSE,10.1051/0004-6361/202141490,http://www.scopus.com/inward/record.url?eid=2-s2.0-85118200724&partnerID=MN8TOARS,journal-article,2021,,,Astronomy and Astrophysics,0009-0008-9801-2224
A kpc-scale-resolved study of unobscured and obscured star formation activity in normal galaxies at z = 1.5 and 2.2 from ALMA and HiZELS,10.1093/mnras/staa3036,http://www.scopus.com/inward/record.url?eid=2-s2.0-85096921873&partnerID=MN8TOARS,journal-article,2020,,,Monthly Notices of the Royal Astronomical Society,0009-0008-9801-2224
ALMA Reveals the Molecular Gas Properties of Five Star-forming Galaxies across the Main Sequence at 3,10.3847/1538-4357/ab7452,http://www.scopus.com/inward/record.url?eid=2-s2.0-85084051082&partnerID=MN8TOARS,journal-article,2020,,,Astrophysical Journal,0009-0008-9801-2224
ALMA reveals the molecular gas properties of 5 star-forming galaxies across the main sequence at 3 &lt; z &lt; 3.5,2-s2.0-85095324188,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095324188&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
Cosmic evolution of molecular gas mass density from an empirical relation between L<sub>1.4GHz</sub>and L′<sub>CO</sub>,2-s2.0-85095028870,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095028870&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
Cosmic evolution of molecular gas mass density from an empirical relationship between L<sub>1.4 GHz</sub> and L'<sub>CO</sub>,10.1093/mnras/staa1171,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095504196&partnerID=MN8TOARS,journal-article,2020,,,Monthly Notices of the Royal Astronomical Society,0009-0008-9801-2224
From peculiar morphologies to hubble-type spirals: The relation between galaxy dynamics and morphology in star-forming galaxies at z ∼ 1.5,10.1093/mnras/stz3576,http://www.scopus.com/inward/record.url?eid=2-s2.0-85091442213&partnerID=MN8TOARS,journal-article,2020,,,Monthly Notices of the Royal Astronomical Society,0009-0008-9801-2224
Metal-THINGS: On the metallicity and ionization of ULX sources in NGC 925,2-s2.0-85097972898,http://www.scopus.com/inward/record.url?eid=2-s2.0-85097972898&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
SCUBA-2 overdensities associated with candidate protoclusters selected from Planck data,10.1093/mnras/staa1096,http://www.scopus.com/inward/record.url?eid=2-s2.0-85096992385&partnerID=MN8TOARS,journal-article,2020,,,Monthly Notices of the Royal Astronomical Society,0009-0008-9801-2224
SCUBA-2 overdensities associated with candidate protoclusters selected from Planck data,2-s2.0-85094753407,http://www.scopus.com/inward/record.url?eid=2-s2.0-85094753407&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
The ALPINE-ALMA [C II] Survey: On the nature of an extremely obscured serendipitous galaxy,10.1093/mnras/staa1546,http://www.scopus.com/inward/record.url?eid=2-s2.0-85088575460&partnerID=MN8TOARS,journal-article,2020,,,Monthly Notices of the Royal Astronomical Society,0009-0008-9801-2224
The ALPINE-ALMA [C II] Survey: [C II] 158 μm Emission Line Luminosity Functions at z ∼ 4-6,10.3847/1538-4357/abc41c,http://www.scopus.com/inward/record.url?eid=2-s2.0-85098892183&partnerID=MN8TOARS,journal-article,2020,,,Astrophysical Journal,0009-0008-9801-2224
The ALPINE-ALMA [C II] survey No or weak evolution in the [C II]-SFR relation over the last 13 Gyr,2-s2.0-85095349932,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095349932&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
The ALPINE-ALMA [C II] survey: A triple merger at z ∼ 4.56,10.1093/mnrasl/slz154,http://www.scopus.com/inward/record.url?eid=2-s2.0-85076555546&partnerID=MN8TOARS,journal-article,2020,,,Monthly Notices of the Royal Astronomical Society: Letters,0009-0008-9801-2224
The ALPINE-ALMA [C II] survey: Little to no evolution in the [C II]-SFR relation over the last 13 Gyr,10.1051/0004-6361/202037617,http://www.scopus.com/inward/record.url?eid=2-s2.0-85093920928&partnerID=MN8TOARS,journal-article,2020,,,Astronomy and Astrophysics,0009-0008-9801-2224
The ALPINE-ALMA [C II] survey: Molecular gas budget in the early Universe as traced by [C II],10.1051/0004-6361/202038231,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095132436&partnerID=MN8TOARS,journal-article,2020,,,Astronomy and Astrophysics,0009-0008-9801-2224
The ALPINE-ALMA [C II] survey: Molecular gas budget in the early universe as traced by [C II],2-s2.0-85095050202,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095050202&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
The ALPINE-ALMA [C II] survey: Star-formation-driven outflows and circumgalactic enrichment in the early Universe,10.1051/0004-6361/201936872,http://www.scopus.com/inward/record.url?eid=2-s2.0-85088034662&partnerID=MN8TOARS,journal-article,2020,,,Astronomy and Astrophysics,0009-0008-9801-2224
The ALPINE-ALMA [C II] survey: [C II] 158 micron emission line luminosity functions at z ∼ 4 − 6,2-s2.0-85095167489,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095167489&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
The ALPINE-ALMA [C ii] Survey: Size of Individual Star-forming Galaxies at z = 4-6 and Their Extended Halo Structure,10.3847/1538-4357/ab94b3,http://www.scopus.com/inward/record.url?eid=2-s2.0-85091141667&partnerID=MN8TOARS,journal-article,2020,,,Astrophysical Journal,0009-0008-9801-2224
"The ALPINE-ALMA [CII] Survey: Data processing, catalogs, and statistical source properties",2-s2.0-85095262951,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095262951&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
"The ALPINE-ALMA [CII] survey: Data processing, catalogs, and statistical source properties",10.1051/0004-6361/202037649,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095126948&partnerID=MN8TOARS,journal-article,2020,,,Astronomy and Astrophysics,0009-0008-9801-2224
The ALPINE-ALMA [CII] survey: Dust attenuation properties and obscured star formation at z ∼4.4-5.8,10.1051/0004-6361/202038163,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095114868&partnerID=MN8TOARS,journal-article,2020,,,Astronomy and Astrophysics,0009-0008-9801-2224
The ALPINE-ALMA [CII] survey: Dust attenuation properties and obscured star-formation at z ∼ 4.4 − 5.8,2-s2.0-85095273624,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095273624&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
The ALPINE-ALMA [CII] survey: Small Ly α -[CII] velocity offsets in main-sequence galaxies at 4.4 &lt; z &lt; 6,10.1051/0004-6361/202037517,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095115617&partnerID=MN8TOARS,journal-article,2020,,,Astronomy and Astrophysics,0009-0008-9801-2224
The ALPINE-ALMA [CII] survey: Small Lyα-[CII] velocity offsets in main-sequence galaxies at 4.4 &lt; z &lt; 6,2-s2.0-85095334777,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095334777&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
"The ALPINE-ALMA [CII] survey: Survey strategy, observations, and sample properties of 118 star-forming galaxies at 4 &lt; z &lt; 6",10.1051/0004-6361/201936965,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095133737&partnerID=MN8TOARS,journal-article,2020,,,Astronomy and Astrophysics,0009-0008-9801-2224
The ALPINE−ALMA [CII] Survey: On the nature of an extremely obscured serendipitous galaxy,2-s2.0-85095300738,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095300738&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
The alpine - Alma [C II] Survey: Size of individual star-forming galaxies at z = 4 ∑ 6 and their extended halo structure,2-s2.0-85095298862,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095298862&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
The alpine-alma [cii] survey: Multiwavelength ancillary data and basic physical measurements,10.3847/1538-4365/ab7ccd,http://www.scopus.com/inward/record.url?eid=2-s2.0-85087210572&partnerID=MN8TOARS,journal-article,2020,,,Astrophysical Journal,0009-0008-9801-2224
The atomic gas of star-forming galaxies at z ∼0.05 as revealed by the Five-hundred-meter Aperture Spherical Radio Telescope,10.1051/0004-6361/202038483,http://www.scopus.com/inward/record.url?eid=2-s2.0-85088271020&partnerID=MN8TOARS,journal-article,2020,,,Astronomy and Astrophysics,0009-0008-9801-2224
The atomic gas of star-forming galaxies at z∼0.05 as revealed by the Five-hundred-meter Aperture Spherical Radio Telescope,2-s2.0-85095648457,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095648457&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
The e-MERGE Survey (e-MERLIN Galaxy Evolution Survey): Overview and survey description,10.1093/mnras/staa1279,http://www.scopus.com/inward/record.url?eid=2-s2.0-85088266829&partnerID=MN8TOARS,journal-article,2020,,,Monthly Notices of the Royal Astronomical Society,0009-0008-9801-2224
The e-MERLIN Galaxy Evolution Survey (e-MERGE): Overview and Survey Description,2-s2.0-85095347745,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095347745&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
"VALES VI: ISM enrichment in star-forming galaxies up to z ∼0.2 using <sup>12</sup>CO(1-0), <sup>13</sup>CO(1-0), and C<sup>18</sup>O(1-0) line luminosity ratios",10.1093/mnras/staa1964,http://www.scopus.com/inward/record.url?eid=2-s2.0-85097002059&partnerID=MN8TOARS,journal-article,2020,,,Monthly Notices of the Royal Astronomical Society,0009-0008-9801-2224
"VALES VI: ISM enrichment in star-forming galaxies up to z∼0.2 using <sup>12</sup>CO(1-0), <sup>13</sup>CO(1-0) and C<sup>18</sup>O(1-0) line luminosity ratios",2-s2.0-85095370737,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095370737&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
VALES VII: Molecular and ionized gas properties in pressure balanced interstellar medium of starburst galaxies at z ~ 0.15,2-s2.0-85098400990,http://www.scopus.com/inward/record.url?eid=2-s2.0-85098400990&partnerID=MN8TOARS,other,2020,,,arXiv,0009-0008-9801-2224
VALES: VII. Molecular and ionized gas properties in the pressure balanced interstellar medium of starburst galaxies at z 0.15,10.1051/0004-6361/202039008,http://www.scopus.com/inward/record.url?eid=2-s2.0-85095976430&partnerID=MN8TOARS,journal-article,2020,,,Astronomy and Astrophysics,0009-0008-9801-2224
